group,variable,donated,received,value
Afghanistan,1964,0,25.431,-25.431
Afghanistan,1969,0,34.917,-34.917
Afghanistan,1970,0,71.0171,-71.0171
Afghanistan,1971,0,32.5079,-32.5079
Afghanistan,1972,0,1.7002,-1.7002
Afghanistan,1973,0,268.6615,-268.6615
Afghanistan,1974,0,174.5909,-174.5909
Afghanistan,1975,0,122.6721,-122.6721
Afghanistan,1976,0,362.8981,-362.8981
Afghanistan,1977,0,385.1916,-385.1916
Afghanistan,1978,0,303.9471,-303.9471
Afghanistan,1979,0,280.0581,-280.0581
Afghanistan,1980,0,1.8934,-1.8934
Afghanistan,1981,0,0.9095,-0.9095
Afghanistan,1982,0,0.7325,-0.7325
Afghanistan,1983,0,4.0922,-4.0922
Afghanistan,1984,0,3.4021,-3.4021
Afghanistan,1985,0,13.0043,-13.0043
Afghanistan,1986,0,43.0285,-43.0285
Afghanistan,1987,0,64.3841,-64.3841
Afghanistan,1988,0,108.7647,-108.7647
Afghanistan,1989,0,143.5867,-143.5867
Afghanistan,1990,0,138.1567,-138.1567
Afghanistan,1991,0,114.2123,-114.2123
Afghanistan,1992,0,125.216,-125.216
Afghanistan,1993,0,91.9684,-91.9684
Afghanistan,1994,0,68.7551,-68.7551
Afghanistan,1995,0,130.2722,-130.2722
Afghanistan,1996,0,138.9595,-138.9595
Afghanistan,1997,0,223.6546,-223.6546
Afghanistan,1998,0,195.075,-195.075
Afghanistan,1999,0,216.5315,-216.5315
Afghanistan,2000,0,236.8397,-236.8397
Afghanistan,2001,0,868.5859,-868.5859
Afghanistan,2002,0,4839.9453,-4839.9453
Afghanistan,2003,0,3486.7325,-3486.7325
Afghanistan,2004,0,3767.5969,-3767.5969
Afghanistan,2005,0,4394.5724,-4394.5724
Afghanistan,2006,0,4257.9326,-4257.9326
Afghanistan,2007,0,5111.9345,-5111.9345
Afghanistan,2008,0,6708.4204,-6708.4204
Afghanistan,2009,0,6679.7741,-6679.7741
Afghanistan,2010,0,8300.5954,-8300.5954
Afghanistan,2011,0,6606.9141,-6606.9141
Afghanistan,2012,0,6453.9374,-6453.9374
Afghanistan,2013,0,6654.7159,-6654.7159
Afghanistan,9999,0,10.2885,-10.2885
Argentina,1961,0,387.9171,-387.9171
Argentina,1962,0,730.1345,-730.1345
Argentina,1967,0,109.1591,-109.1591
Argentina,1968,0,935.4767,-935.4767
Argentina,1969,0,574.738,-574.738
Argentina,1970,0,507.3575,-507.3575
Argentina,1971,0,1369.7785,-1369.7785
Argentina,1972,0,887.7954,-887.7954
Argentina,1973,0,97.011,-97.011
Argentina,1974,0,395.7879,-395.7879
Argentina,1975,0,825.6983,-825.6983
Argentina,1976,0,1234.2621,-1234.2621
Argentina,1977,0,1822.149,-1822.149
Argentina,1978,0,1382.9365,-1382.9365
Argentina,1979,0,1644.0588,-1644.0588
Argentina,1980,0,1676.7693,-1676.7693
Argentina,1981,0,2173.4256,-2173.4256
Argentina,1982,0,2221.8682,-2221.8682
Argentina,1983,0,499.9582,-499.9582
Argentina,1984,0,4390.2051,-4390.2051
Argentina,1985,0,1134.6517,-1134.6517
Argentina,1986,0,2669.138,-2669.138
Argentina,1987,0,3732.4421,-3732.4421
Argentina,1988,0,4313.312,-4313.312
Argentina,1989,0,1879.4549,-1879.4549
Argentina,1990,0,1064.1906,-1064.1906
Argentina,1991,0,4077.1725,-4077.1725
Argentina,1992,0,7670.7442,-7670.7442
Argentina,1993,0,5447.7857,-5447.7857
Argentina,1994,0,4268.4516,-4268.4516
Argentina,1995,0,8360.7883,-8360.7883
Argentina,1996,0,7799.6522,-7799.6522
Argentina,1997,0,4742.8232,-4742.8232
Argentina,1998,0,15935.1671,-15935.1671
Argentina,1999,0,4162.139,-4162.139
Argentina,2000,0,4260.3437,-4260.3437
Argentina,2001,0,52056.1271,-52056.1271
Argentina,2002,0,495.8638,-495.8638
Argentina,2003,0,27038.7912,-27038.7912
Argentina,2004,0,2301.0406,-2301.0406
Argentina,2005,0,2315.5828,-2315.5828
Argentina,2006,0,4142.9984,-4142.9984
Argentina,2007,0,4500.4911,-4500.4911
Argentina,2008,0,2800.141,-2800.141
Argentina,2009,0,3788.6575,-3788.6575
Argentina,2010,0,4816.0971,-4816.0971
Argentina,2011,0,2368.0388,-2368.0388
Argentina,2012,0,190.814,-190.814
Argentina,2013,0,1323.1317,-1323.1317
Argentina,9999,0,2.909,-2.909
Australia,1950,0,811.0273,-811.0273
Australia,1952,0,405.5137,-405.5137
Australia,1954,0,437.9547,-437.9547
Australia,1955,0,442.0099,-442.0099
Australia,1956,0,480.1282,-480.1282
Australia,1962,0,768.5626,-768.5626
Australia,1973,271.6574,0,271.6574
Australia,1974,1874.1011,0,1874.1011
Australia,1975,938.3615,0,938.3615
Australia,1976,1256.9646,0,1256.9646
Australia,1977,1752.0802,0,1752.0802
Australia,1978,1604.2737,0,1604.2737
Australia,1979,1523.9727,0,1523.9727
Australia,1980,1418.5457,54.5023,1364.0434
Australia,1981,1352.5484,747.648,604.9004
Australia,1982,1198.4914,2.5995,1195.892
Australia,1983,1357.4441,0,1357.4441
Australia,1984,1175.2875,0,1175.2875
Australia,1985,1093.7378,0,1093.7378
Australia,1986,1034.646,1.8678,1032.7782
Australia,1987,964.8165,0,964.8165
Australia,1988,2162.2527,0.7658,2161.4868
Australia,1989,555.6463,0.5147,555.1316
Australia,1990,877.3538,0,877.3538
Australia,1991,1262.5821,0,1262.5821
Australia,1992,794.7926,193.5537,601.2389
Australia,1993,1733.8543,79.2623,1654.592
Australia,1994,1751.8686,321.2332,1430.6355
Australia,1995,627.5913,343.7595,283.8318
Australia,1996,3182.6941,0.167,3182.5271
Australia,1997,1617.7271,0,1617.7271
Australia,1998,1505.9824,133.637,1372.3453
Australia,1999,2169.2273,0,2169.2273
Australia,2000,2797.6336,0,2797.6336
Australia,2001,2091.4199,0,2091.4199
Australia,2002,1783.4318,696.8829,1086.5489
Australia,2003,2436.5975,0.2735,2436.3239
Australia,2004,2273.6863,0.6246,2273.0618
Australia,2005,2487.331,0.3462,2486.9848
Australia,2006,3768.3067,0,3768.3067
Australia,2007,2449.4023,0,2449.4023
Australia,2008,5356.1437,0,5356.1437
Australia,2009,3505.5311,0,3505.5311
Australia,2010,4355.1509,0,4355.1509
Australia,2011,4278.335,0,4278.335
Australia,2012,4669.557,0,4669.557
Australia,2013,4366.6209,0,4366.6209
Austria,1954,0,97.3233,-97.3233
Austria,1955,0,81.1027,-81.1027
Austria,1956,0,251.4185,-251.4185
Austria,1957,0,29.197,-29.197
Austria,1958,0,290.3478,-290.3478
Austria,1959,0,72.9925,-72.9925
Austria,1962,0,38.4281,-38.4281
Austria,1974,332.7414,0,332.7414
Austria,1976,28.2763,0,28.2763
Austria,1977,127.8275,0,127.8275
Austria,1978,107.4402,0,107.4402
Austria,1979,54.4145,0,54.4145
Austria,1980,237.0427,157.6322,79.4105
Austria,1981,621.9879,0.1639,621.824
Austria,1982,835.9703,58.5907,777.3796
Austria,1983,420.7022,0,420.7022
Austria,1984,140.1763,0,140.1763
Austria,1985,204.0765,0,204.0765
Austria,1986,159.9425,0,159.9425
Austria,1987,135.4406,0,135.4406
Austria,1988,442.3393,0,442.3393
Austria,1989,640.2962,0,640.2962
Austria,1990,137.4217,0,137.4217
Austria,1991,495.8493,0,495.8493
Austria,1992,123.1154,0,123.1154
Austria,1993,53.1297,132.5708,-79.441
Austria,1994,33.8272,0,33.8272
Austria,1995,64.1615,0,64.1615
Austria,1996,696.6119,0.0563,696.5556
Austria,1997,440.6037,0,440.6037
Austria,1998,667.5299,0,667.5299
Austria,1999,604.4039,0,604.4039
Austria,2000,656.204,0,656.204
Austria,2001,810.4644,171.6958,638.7686
Austria,2002,764.7191,249.8591,514.86
Austria,2003,496.3815,0.3419,496.0396
Austria,2004,546.8024,0.0015,546.8009
Austria,2005,1626.3469,0.1275,1626.2194
Austria,2006,1397.0346,0,1397.0346
Austria,2007,1496.4433,0,1496.4433
Austria,2008,1344.938,0,1344.938
Austria,2009,565.1448,0.07,565.0748
Austria,2010,713.8446,0,713.8446
Austria,2011,539.0063,0,539.0063
Austria,2012,748.8817,0,748.8817
Austria,2013,854.1991,0,854.1991
Bangladesh,1959,0,4.8662,-4.8662
Bangladesh,1961,0,19.1959,-19.1959
Bangladesh,1962,0,20.7512,-20.7512
Bangladesh,1963,0,225.2963,-225.2963
Bangladesh,1964,0,322.6099,-322.6099
Bangladesh,1965,0,66.9941,-66.9941
Bangladesh,1966,0,225.9588,-225.9588
Bangladesh,1967,0,94.1765,-94.1765
Bangladesh,1969,0,190.0016,-190.0016
Bangladesh,1970,0,217.8082,-217.8082
Bangladesh,1971,0,152.5045,-152.5045
Bangladesh,1972,0,272.8974,-272.8974
Bangladesh,1973,0,1625.176,-1625.176
Bangladesh,1974,0,2920.7583,-2920.7583
Bangladesh,1975,0,3914.9039,-3914.9039
Bangladesh,1976,0,2948.0387,-2948.0387
Bangladesh,1977,0,2377.6343,-2377.6343
Bangladesh,1978,0,3549.6135,-3549.6135
Bangladesh,1979,0,2786.5235,-2786.5235
Bangladesh,1980,0,4627.738,-4627.738
Bangladesh,1981,0,3886.4519,-3886.4519
Bangladesh,1982,0,3827.8725,-3827.8725
Bangladesh,1983,0,3187.1943,-3187.1943
Bangladesh,1984,0,4126.9366,-4126.9366
Bangladesh,1985,0,4127.3119,-4127.3119
Bangladesh,1986,0,3274.0399,-3274.0399
Bangladesh,1987,0,3211.94,-3211.94
Bangladesh,1988,0,2540.756,-2540.756
Bangladesh,1989,0,3540.4079,-3540.4079
Bangladesh,1990,0,3710.7909,-3710.7909
Bangladesh,1991,0,2420.7874,-2420.7874
Bangladesh,1992,0,2580.342,-2580.342
Bangladesh,1993,0,1724.1063,-1724.1063
Bangladesh,1994,0,2495.3005,-2495.3005
Bangladesh,1995,0,1965.9534,-1965.9534
Bangladesh,1996,0,2180.7001,-2180.7001
Bangladesh,1997,0,2933.9913,-2933.9913
Bangladesh,1998,0,3367.0028,-3367.0028
Bangladesh,1999,0,3469.7265,-3469.7265
Bangladesh,2000,0,2372.4869,-2372.4869
Bangladesh,2001,0,2421.7491,-2421.7491
Bangladesh,2002,0,2203.37,-2203.37
Bangladesh,2003,0,3768.5657,-3768.5657
Bangladesh,2004,0,3222.2551,-3222.2551
Bangladesh,2005,0,2774.812,-2774.812
Bangladesh,2006,0,3265.692,-3265.692
Bangladesh,2007,0,3471.2528,-3471.2528
Bangladesh,2008,0,3915.4839,-3915.4839
Bangladesh,2009,0,3451.1914,-3451.1914
Bangladesh,2010,0,4161.833,-4161.833
Bangladesh,2011,0,4819.5133,-4819.5133
Bangladesh,2012,0,2730.3806,-2730.3806
Bangladesh,2013,0,5312.7418,-5312.7418
Belgium,1949,0,129.7644,-129.7644
Belgium,1951,0,243.3082,-243.3082
Belgium,1954,0,162.2055,-162.2055
Belgium,1957,0,81.1027,-81.1027
Belgium,1973,216.8262,0,216.8262
Belgium,1974,282.6289,0,282.6289
Belgium,1975,230.6311,0,230.6311
Belgium,1976,220.4857,0,220.4857
Belgium,1977,231.4726,0,231.4726
Belgium,1978,183.4356,0,183.4356
Belgium,1979,231.2167,0,231.2167
Belgium,1980,276.4419,147.8685,128.5734
Belgium,1981,310.7153,36.4777,274.2376
Belgium,1982,299.6322,0,299.6322
Belgium,1983,326.5284,0,326.5284
Belgium,1984,142.9781,0,142.9781
Belgium,1985,135.9694,0,135.9694
Belgium,1986,147.2981,0,147.2981
Belgium,1987,12.638,0,12.638
Belgium,1988,123.0965,0,123.0965
Belgium,1989,813.5246,0,813.5246
Belgium,1990,808.091,0,808.091
Belgium,1991,600.1144,0,600.1144
Belgium,1992,1531.3709,0,1531.3709
Belgium,1993,230.9449,0,230.9449
Belgium,1994,550.8693,0,550.8693
Belgium,1995,1217.0027,0,1217.0027
Belgium,1996,1090.3072,0.5567,1089.7505
Belgium,1997,1124.8716,0,1124.8716
Belgium,1998,1031.0958,0,1031.0958
Belgium,1999,780.2172,0,780.2172
Belgium,2000,1157.9086,0,1157.9086
Belgium,2001,1060.4356,0,1060.4356
Belgium,2002,1921.0801,0,1921.0801
Belgium,2003,2251.9872,0,2251.9872
Belgium,2004,1683.6434,0,1683.6434
Belgium,2005,2572.5716,0,2572.5716
Belgium,2006,1920.3765,0,1920.3765
Belgium,2007,1768.1777,0,1768.1777
Belgium,2008,1849.6092,0,1849.6092
Belgium,2009,2146.6037,0,2146.6037
Belgium,2010,2247.2859,0,2247.2859
Belgium,2011,1929.4088,0,1929.4088
Belgium,2012,1420.704,0,1420.704
Belgium,2013,1589.0063,0,1589.0063
Brazil,1949,0,608.2705,-608.2705
Brazil,1950,0,121.6541,-121.6541
Brazil,1951,0,121.6541,-121.6541
Brazil,1952,0,304.1352,-304.1352
Brazil,1953,0,266.017,-266.017
Brazil,1954,0,152.4731,-152.4731
Brazil,1958,0,700.7276,-700.7276
Brazil,1959,0,94.0792,-94.0792
Brazil,1965,0,566.5991,-566.5991
Brazil,1966,0,1049.7961,-1049.7961
Brazil,1967,0,285.3832,-285.3832
Brazil,1968,0,661.662,-661.662
Brazil,1970,0,2339.0189,-2339.0189
Brazil,1971,0,2437.3793,-2437.3793
Brazil,1972,0,3612.7256,-3612.7256
Brazil,1973,0,2645.5325,-2645.5325
Brazil,1974,0,1758.465,-1758.465
Brazil,1975,0,3315.1504,-3315.1504
Brazil,1976,0,3083.801,-3083.801
Brazil,1977,0,2631.7351,-2631.7351
Brazil,1978,0,3147.9019,-3147.9019
Brazil,1979,0,2935.8456,-2935.8456
Brazil,1980,0,4028.6338,-4028.6338
Brazil,1981,0,5118.0083,-5118.0083
Brazil,1982,0,4986.1752,-4986.1752
Brazil,1983,0,17601.4673,-17601.4673
Brazil,1984,0,2729.5449,-2729.5449
Brazil,1985,0,6783.5963,-6783.5963
Brazil,1986,0,5754.5124,-5754.5124
Brazil,1987,0,3717.2647,-3717.2647
Brazil,1988,0,4577.5885,-4577.5885
Brazil,1989,0,3620.9474,-3620.9474
Brazil,1990,0,4021.2226,-4021.2226
Brazil,1991,0,3594.5432,-3594.5432
Brazil,1992,0,5262.1087,-5262.1087
Brazil,1993,0,4078.3955,-4078.3955
Brazil,1994,0,5989.9651,-5989.9651
Brazil,1995,0,6025.899,-6025.899
Brazil,1996,0,6557.5479,-6557.5479
Brazil,1997,0,9382.8386,-9382.8386
Brazil,1998,6.3564,22380.9898,-22374.6333
Brazil,1999,0,11834.2218,-11834.2218
Brazil,2000,0,5265.0496,-5265.0496
Brazil,2001,0.099,33798.3852,-33798.2862
Brazil,2002,0,63232.6103,-63232.6103
Brazil,2003,0,3497.8302,-3497.8302
Brazil,2004,2.7177,6355.8296,-6353.1119
Brazil,2005,3.3955,4647.5248,-4644.1293
Brazil,2006,3.2824,4356.6622,-4353.3798
Brazil,2007,7.1461,5408.8323,-5401.6862
Brazil,2008,15.8903,9992.1153,-9976.225
Brazil,2009,6.1162,5518.568,-5512.4518
Brazil,2010,160.3474,8433.0929,-8272.7456
Brazil,2011,0,3073.4259,-3073.4259
Brazil,2012,0,7454.1947,-7454.1947
Brazil,2013,0,7073.0202,-7073.0202
Brazil,9999,0,4.2273,-4.2273
Canada,1973,2682.412,0,2682.412
Canada,1974,1469.4322,0,1469.4322
Canada,1975,1880.3046,0,1880.3046
Canada,1976,1367.8373,0,1367.8373
Canada,1977,1798.4063,0,1798.4063
Canada,1978,3400.3644,0,3400.3644
Canada,1979,1441.3216,0,1441.3216
Canada,1980,771.7995,531.6749,240.1247
Canada,1981,2090.0752,2540.4058,-450.3306
Canada,1982,1145.1131,170.1748,974.9383
Canada,1983,1749.1866,0,1749.1866
Canada,1984,3463.0414,153.0229,3310.0185
Canada,1985,2234.5478,0,2234.5478
Canada,1986,2888.1899,0,2888.1899
Canada,1987,2924.8678,0,2924.8678
Canada,1988,2774.8746,0,2774.8746
Canada,1989,2424.2054,1.9617,2422.2437
Canada,1990,3144.3639,0,3144.3639
Canada,1991,1606.5745,0,1606.5745
Canada,1992,1907.4316,0,1907.4316
Canada,1993,1937.7746,83.9254,1853.8491
Canada,1994,2194.7196,0.5894,2194.1301
Canada,1995,2727.497,0,2727.497
Canada,1996,2500.6849,0,2500.6849
Canada,1997,1912.1209,0.9204,1911.2005
Canada,1998,2565.0544,0.3527,2564.7017
Canada,1999,2206.6231,0.2866,2206.3365
Canada,2000,2709.9226,0.7518,2709.1708
Canada,2001,2289.7683,0,2289.7683
Canada,2002,3377.6815,587.9015,2789.78
Canada,2003,2877.2661,0,2877.2661
Canada,2004,3663.6451,1.0555,3662.5896
Canada,2005,3741.6328,0.7021,3740.9307
Canada,2006,3142.0723,0,3142.0723
Canada,2007,3923.8259,0,3923.8259
Canada,2008,4195.6824,0.0555,4195.6269
Canada,2009,4641.2391,0,4641.2391
Canada,2010,4199.0541,0,4199.0541
Canada,2011,4285.441,0,4285.441
Canada,2012,3366.6008,0,3366.6008
Canada,2013,3392.6838,0,3392.6838
China,1976,0,113.2059,-113.2059
China,1978,0,93.8882,-93.8882
China,1979,0,0.4398,-0.4398
China,1980,0,1365.7021,-1365.7021
China,1981,0,1734.6282,-1734.6282
China,1982,0,3020.2165,-3020.2165
China,1983,0,3094.8513,-3094.8513
China,1984,0,3953.7308,-3953.7308
China,1985,0,4658.4848,-4658.4848
China,1986,0,5440.322,-5440.322
China,1987,0,5373.3512,-5373.3512
China,1988,0,8157.965,-8157.965
China,1989,0,5766.3908,-5766.3908
China,1990,0,3030.082,-3030.082
China,1991,0,8759.8886,-8759.8886
China,1992,0,8451.1005,-8451.1005
China,1993,0,9884.4288,-9884.4288
China,1994,0,10487.7596,-10487.7596
China,1995,0,12036.9178,-12036.9178
China,1996,0,15923.4406,-15923.4406
China,1997,0,10645.8951,-10645.8951
China,1998,0,12499.536,-12499.536
China,1999,0,9513.5852,-9513.5852
China,2000,0,8095.0889,-8095.0889
China,2001,0,7664.8143,-7664.8143
China,2002,0,6457.5367,-6457.5367
China,2003,0,7080.5125,-7080.5125
China,2004,0,6314.5725,-6314.5725
China,2005,0,8364.6719,-8364.6719
China,2006,0,7814.7221,-7814.7221
China,2007,0,7625.7371,-7625.7371
China,2008,0,7220.1372,-7220.1372
China,2009,0,8451.8352,-8451.8352
China,2010,0,6215.5316,-6215.5316
China,2011,0,4251.4761,-4251.4761
China,2012,0,3144.0722,-3144.0722
China,2013,0,8265.1516,-8265.1516
Colombia,1949,0,40.5514,-40.5514
Colombia,1950,0,49.4727,-49.4727
Colombia,1951,0,153.2842,-153.2842
Colombia,1952,0,202.7568,-202.7568
Colombia,1953,0,116.7879,-116.7879
Colombia,1954,0,40.5514,-40.5514
Colombia,1955,0,165.4496,-165.4496
Colombia,1956,0,133.8195,-133.8195
Colombia,1958,0,22.7088,-22.7088
Colombia,1959,0,134.6305,-134.6305
Colombia,1960,0,389.2931,-389.2931
Colombia,1961,0,487.8958,-487.8958
Colombia,1962,0,384.2813,-384.2813
Colombia,1963,0,548.7416,-548.7416
Colombia,1964,0,326.9694,-326.9694
Colombia,1966,0,292.6237,-292.6237
Colombia,1967,0,178.3645,-178.3645
Colombia,1968,0,721.0682,-721.0682
Colombia,1969,0,407.7259,-407.7259
Colombia,1970,0,888.2472,-888.2472
Colombia,1971,0,1425.1655,-1425.1655
Colombia,1972,0,807.7764,-807.7764
Colombia,1973,0,1890.9856,-1890.9856
Colombia,1974,0,238.99,-238.99
Colombia,1975,0,788.2719,-788.2719
Colombia,1976,0,1294.0094,-1294.0094
Colombia,1977,0,1125.7257,-1125.7257
Colombia,1978,0,2139.472,-2139.472
Colombia,1979,0,1240.6176,-1240.6176
Colombia,1980,0,1843.0957,-1843.0957
Colombia,1981,0,2241.9721,-2241.9721
Colombia,1982,0,2564.1308,-2564.1308
Colombia,1983,0,1464.3172,-1464.3172
Colombia,1984,0,3349.0601,-3349.0601
Colombia,1985,0,3917.508,-3917.508
Colombia,1986,0,1477.3358,-1477.3358
Colombia,1987,0,2096.3229,-2096.3229
Colombia,1988,0,1272.7178,-1272.7178
Colombia,1989,0,776.8491,-776.8491
Colombia,1990,0,2438.6784,-2438.6784
Colombia,1991,0,1442.8075,-1442.8075
Colombia,1992,0,2103.0716,-2103.0716
Colombia,1993,0,2590.8031,-2590.8031
Colombia,1994,0,477.7017,-477.7017
Colombia,1995,0,2204.1542,-2204.1542
Colombia,1996,0,1688.5884,-1688.5884
Colombia,1997,0,661.4574,-661.4574
Colombia,1998,0,1486.692,-1486.692
Colombia,1999,0,5714.67,-5714.67
Colombia,2000,0,2931.0325,-2931.0325
Colombia,2001,0,4920.5073,-4920.5073
Colombia,2002,0,3507.2029,-3507.2029
Colombia,2003,0,8721.7115,-8721.7115
Colombia,2004,0,2696.423,-2696.423
Colombia,2005,0,4862.1616,-4862.1616
Colombia,2006,0.0017,4545.6122,-4545.6105
Colombia,2007,0.3414,4341.1306,-4340.7892
Colombia,2008,0.2611,6209.375,-6209.114
Colombia,2009,0,9722.7103,-9722.7103
Colombia,2010,10.3353,5705.9573,-5695.622
Colombia,2011,0,3990.9294,-3990.9294
Colombia,2012,0,1711.1887,-1711.1887
Colombia,2013,0,2852.2127,-2852.2127
"Congo, Democratic Republic of",1951,0,324.4109,-324.4109
"Congo, Democratic Republic of",1957,0,324.4109,-324.4109
"Congo, Democratic Republic of",1960,0,324.4109,-324.4109
"Congo, Democratic Republic of",1969,0,40.5697,-40.5697
"Congo, Democratic Republic of",1970,0,32.3158,-32.3158
"Congo, Democratic Republic of",1971,0,143.3542,-143.3542
"Congo, Democratic Republic of",1972,0,103.701,-103.701
"Congo, Democratic Republic of",1973,0,573.2918,-573.2918
"Congo, Democratic Republic of",1974,0,945.2944,-945.2944
"Congo, Democratic Republic of",1975,0,827.1082,-827.1082
"Congo, Democratic Republic of",1976,0,670.8633,-670.8633
"Congo, Democratic Republic of",1977,0,464.4082,-464.4082
"Congo, Democratic Republic of",1978,0,656.1373,-656.1373
"Congo, Democratic Republic of",1979,0,477.5824,-477.5824
"Congo, Democratic Republic of",1980,0,936.8994,-936.8994
"Congo, Democratic Republic of",1981,0,509.0425,-509.0425
"Congo, Democratic Republic of",1982,0,769.4263,-769.4263
"Congo, Democratic Republic of",1983,0,1445.4005,-1445.4005
"Congo, Democratic Republic of",1984,0,876.761,-876.761
"Congo, Democratic Republic of",1985,0,1289.3443,-1289.3443
"Congo, Democratic Republic of",1986,0,1601.2188,-1601.2188
"Congo, Democratic Republic of",1987,0,1596.7708,-1596.7708
"Congo, Democratic Republic of",1988,0,1053.654,-1053.654
"Congo, Democratic Republic of",1989,0,1903.0859,-1903.0859
"Congo, Democratic Republic of",1990,0,1067.232,-1067.232
"Congo, Democratic Republic of",1991,0,759.0519,-759.0519
"Congo, Democratic Republic of",1992,0,16.9476,-16.9476
"Congo, Democratic Republic of",1993,0,45.5934,-45.5934
"Congo, Democratic Republic of",1994,0,345.1095,-345.1095
"Congo, Democratic Republic of",1995,0,487.6558,-487.6558
"Congo, Democratic Republic of",1996,0,185.1295,-185.1295
"Congo, Democratic Republic of",1997,0,178.1085,-178.1085
"Congo, Democratic Republic of",1998,0,141.5964,-141.5964
"Congo, Democratic Republic of",1999,0,149.4047,-149.4047
"Congo, Democratic Republic of",2000,0,294.5042,-294.5042
"Congo, Democratic Republic of",2001,0,520.5059,-520.5059
"Congo, Democratic Republic of",2002,0,3535.9271,-3535.9271
"Congo, Democratic Republic of",2003,0,7920.852,-7920.852
"Congo, Democratic Republic of",2004,0,3834.0488,-3834.0488
"Congo, Democratic Republic of",2005,0,2590.7697,-2590.7697
"Congo, Democratic Republic of",2006,0,2385.586,-2385.586
"Congo, Democratic Republic of",2007,0,1887.3427,-1887.3427
"Congo, Democratic Republic of",2008,0,2044.458,-2044.458
"Congo, Democratic Republic of",2009,0,3030.5897,-3030.5897
"Congo, Democratic Republic of",2010,0,3719.8511,-3719.8511
"Congo, Democratic Republic of",2011,0,4889.2536,-4889.2536
"Congo, Democratic Republic of",2012,0,2836.4321,-2836.4321
"Congo, Democratic Republic of",2013,0,2165.8688,-2165.8688
"Congo, Republic of",1967,0,214.0374,-214.0374
"Congo, Republic of",1969,0,4.057,-4.057
"Congo, Republic of",1970,0,9.6947,-9.6947
"Congo, Republic of",1971,0,45.7513,-45.7513
"Congo, Republic of",1972,0,55.1845,-55.1845
"Congo, Republic of",1973,0,67.8173,-67.8173
"Congo, Republic of",1974,0,89.2382,-89.2382
"Congo, Republic of",1975,0,56.245,-56.245
"Congo, Republic of",1976,0,498.3648,-498.3648
"Congo, Republic of",1977,0,60.783,-60.783
"Congo, Republic of",1978,0,84.3456,-84.3456
"Congo, Republic of",1979,0,90.557,-90.557
"Congo, Republic of",1980,0,349.4937,-349.4937
"Congo, Republic of",1981,0,196.2528,-196.2528
"Congo, Republic of",1982,0,183.2663,-183.2663
"Congo, Republic of",1983,0,284.7726,-284.7726
"Congo, Republic of",1984,0,117.0591,-117.0591
"Congo, Republic of",1985,0,153.1967,-153.1967
"Congo, Republic of",1986,0,319.1092,-319.1092
"Congo, Republic of",1987,0,436.3057,-436.3057
"Congo, Republic of",1988,0,130.9109,-130.9109
